speaker_id,instruct,ref_wav
spk01,"20대 여성, 매우 높고 밝은 목소리, 빠른 말투, 발랄한 느낌",spk01_ref.wav
spk02,"60대 남성, 매우 낮고 굵은 목소리, 느린 말투, 묵직한 느낌",spk02_ref.wav
spk03,"30대 여성, 중간 톤의 차분한 목소리, 보통 속도, 또박또박한 발음",spk03_ref.wav
spk04,"40대 남성, 약간 높은 목소리, 빠른 말투, 활기찬 느낌",spk04_ref.wav
spk05,"50대 여성, 낮고 따뜻한 목소리, 느린 말투, 부드러운 느낌",spk05_ref.wav
spk06,"20대 남성, 높고 가벼운 목소리, 매우 빠른 말투, 경쾌한 느낌",spk06_ref.wav
spk07,"60대 여성, 가늘고 떨리는 목소리, 느린 말투, 인자한 느낌",spk07_ref.wav
spk08,"30대 남성, 낮고 단단한 목소리, 보통 속도, 신뢰감 있는 느낌",spk08_ref.wav
spk09,"40대 여성, 또렷하고 높은 목소리, 빠른 말투, 사무적인 느낌",spk09_ref.wav
spk10,"50대 남성, 허스키하고 낮은 목소리, 느린 말투, 차분한 느낌",spk10_ref.wav
spk11,"20대 여성, 부드럽고 중간 톤의 목소리, 느린 말투, 나긋한 느낌",spk11_ref.wav
spk12,"30대 남성, 밝고 높은 목소리, 빠른 말투, 친근한 느낌",spk12_ref.wav
spk13,"40대 남성, 굵고 낮은 목소리, 보통 속도, 권위적인 느낌",spk13_ref.wav
spk14,"50대 여성, 맑고 높은 목소리, 보통 속도, 우아한 느낌",spk14_ref.wav
